name,similarity,similarity_pct,sweeper_actions_p90,avg_distance_from_goal,save_pct,pass_success_pct,avg_pass_length,long_ball_pct,minutes
Unai Simón Mendibil,0.89,94.48,0.65,30.92,46.15,93.67,23.36,8.23,415
Andries Noppert,0.84,92.14,1.05,17.73,39.13,82.2,32.57,31.41,515
Matthew Charles Turner,0.75,87.5,1.16,18.02,52.94,77.78,35.41,33.33,389
Yann Sommer,0.65,82.26,0.63,13.16,70.59,91.45,24.69,17.95,285
Alisson Ramsés Becker,0.61,80.27,0.22,31.7,25.0,85.11,24.37,15.96,410
